colname,stage1type,stage1size
assistance_transaction_unique_key,varchar,255
assistance_award_unique_key,varchar,255
award_id_fain,varchar,255
modification_number,varchar,255
award_id_uri,varchar,255
sai_number,varchar,255
federal_action_obligation,decimal,
total_obligated_amount,decimal,
total_outlayed_amount_for_overall_award,decimal,
indirect_cost_federal_share_amount,decimal,
non_federal_funding_amount,decimal,
total_non_federal_funding_amount,decimal,
face_value_of_loan,decimal,
original_loan_subsidy_cost,decimal,
total_face_value_of_loan,decimal,
total_loan_subsidy_cost,decimal,
disaster_emergency_fund_codes_for_overall_award,varchar,255
outlayed_amount_from_COVID-19_supplementals_for_overall_award,decimal,
obligated_amount_from_COVID-19_supplementals_for_overall_award,decimal,
outlayed_amount_from_IIJA_supplemental_for_overall_award,decimal,
obligated_amount_from_IIJA_supplemental_for_overall_award,decimal,
action_date,date,
action_date_fiscal_year,integer,
period_of_performance_start_date,date,
period_of_performance_current_end_date,date,
awarding_agency_code,varchar,255
awarding_agency_name,varchar,255
awarding_sub_agency_code,varchar,255
awarding_sub_agency_name,varchar,255
awarding_office_code,varchar,255
awarding_office_name,varchar,255
funding_agency_code,varchar,255
funding_agency_name,varchar,255
funding_sub_agency_code,varchar,255
funding_sub_agency_name,varchar,255
funding_office_code,varchar,255
funding_office_name,varchar,255
treasury_accounts_funding_this_award,varchar,4000
federal_accounts_funding_this_award,varchar,4000
object_classes_funding_this_award,varchar,4000
program_activities_funding_this_award,varchar,5000
recipient_uei,varchar,255
recipient_duns,varchar,255
recipient_name,varchar,255
recipient_name_raw,varchar,255
recipient_parent_uei,varchar,255
recipient_parent_duns,varchar,255
recipient_parent_name,varchar,255
recipient_parent_name_raw,varchar,255
recipient_country_code,varchar,255
recipient_country_name,varchar,255
recipient_address_line_1,varchar,255
recipient_address_line_2,varchar,255
recipient_city_code,varchar,255
recipient_city_name,varchar,255
prime_award_transaction_recipient_county_fips_code,varchar,255
recipient_county_name,varchar,255
prime_award_transaction_recipient_state_fips_code,varchar,255
recipient_state_code,varchar,255
recipient_state_name,varchar,255
recipient_zip_code,varchar,255
recipient_zip_last_4_code,varchar,255
prime_award_transaction_recipient_cd_original,varchar,255
prime_award_transaction_recipient_cd_current,varchar,255
recipient_foreign_city_name,varchar,255
recipient_foreign_province_name,varchar,255
recipient_foreign_postal_code,varchar,255
primary_place_of_performance_scope,varchar,255
primary_place_of_performance_country_code,varchar,255
primary_place_of_performance_country_name,varchar,255
primary_place_of_performance_code,varchar,255
primary_place_of_performance_city_name,varchar,255
prime_award_transaction_place_of_performance_county_fips_code,varchar,255
primary_place_of_performance_county_name,varchar,255
prime_award_transaction_place_of_performance_state_fips_code,varchar,255
primary_place_of_performance_state_name,varchar,255
primary_place_of_performance_zip_4,varchar,255
prime_award_transaction_place_of_performance_cd_original,varchar,255
prime_award_transaction_place_of_performance_cd_current,varchar,255
primary_place_of_performance_foreign_location,varchar,255
cfda_number,varchar,255
cfda_title,varchar,255
funding_opportunity_number,varchar,255
funding_opportunity_goals_text,varchar,2000
assistance_type_code,varchar,255
assistance_type_description,varchar,255
transaction_description,varchar,6500
prime_award_base_transaction_description,varchar,4008
business_funds_indicator_code,varchar,255
business_funds_indicator_description,varchar,255
business_types_code,varchar,255
business_types_description,varchar,255
correction_delete_indicator_code,varchar,255
correction_delete_indicator_description,varchar,255
action_type_code,varchar,255
action_type_description,varchar,255
record_type_code,varchar,255
record_type_description,varchar,255
highly_compensated_officer_1_name,varchar,255
highly_compensated_officer_1_amount,decimal,
highly_compensated_officer_2_name,varchar,255
highly_compensated_officer_2_amount,decimal,
highly_compensated_officer_3_name,varchar,255
highly_compensated_officer_3_amount,decimal,
highly_compensated_officer_4_name,varchar,255
highly_compensated_officer_4_amount,decimal,
highly_compensated_officer_5_name,varchar,255
highly_compensated_officer_5_amount,decimal,
usaspending_permalink,varchar,255
last_modified_date,date,
USAspending_file_name,varchar,255
