CCRexception,SAMexceptionText,SAMexception.sum,SAMcrisisFunding
1,Government-wide Commercial Purchase Card,Other Exception,
2,Classified Contracts,Other Exception,
3,"Contracting Officers deployed in the course of military operations,",Deployed in Military Operations,OCO
4,Contracting Officers conducting emergency operations,Emergency Operations,Disaster
5,Contracts to support unusual or compelling needs,Other Exception,
6,Awards made to foreign vendors for work performed outside the United States,Other Exception,
7,Micro-purchases that do not use the EFT,Other Exception,
A,Unknown A,Other Exception,
C,Unknown C,Other Exception,
G,Unknown G,Other Exception,
M,Unknown M,Other Exception,
Unlabeled,Unlabeled,No Exception,
,Unlabeled,No Exception,
