"CSIScontractID","override_unmodified_ceiling","override_unmodified_base","override_change_order_growth","override_exercised_growth","CSIS_inspection"
1431340,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
8341560,FALSE,FALSE,TRUE,FALSE,"Error: Corrected Administratively"
10090818,FALSE,FALSE,TRUE,FALSE,"Apparent Error: Uncorrected"
19005830,FALSE,FALSE,TRUE,FALSE,"Apparent Error: Uncorrected"
24719937,FALSE,FALSE,TRUE,FALSE,"Error: Corrected Administratively"
24807877,FALSE,FALSE,TRUE,FALSE,"Error: Corrected Other"
24816950,FALSE,FALSE,TRUE,FALSE,"Error: Corrected Other"
24905030,FALSE,FALSE,TRUE,FALSE,"Error: Corrected Administratively"
24893403,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496435,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892978,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893360,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893182,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893022,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24893244,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496301,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893086,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892987,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
8496414,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892998,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892997,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893283,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893195,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893123,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892977,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893019,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892755,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893021,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893225,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893128,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496620,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496500,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496533,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893084,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893359,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892999,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892351,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496456,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24893402,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893211,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893186,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
8496496,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24893122,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893222,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892298,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892291,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893199,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24893087,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893233,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893613,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24892517,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892259,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892295,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892979,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893137,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893149,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893257,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24892296,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893620,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24893138,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893132,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496309,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496627,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892519,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893232,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
28287611,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893250,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893117,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893139,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892969,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893074,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
28277971,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24892521,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893145,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892779,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893630,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24893032,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893230,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893165,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24893113,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892778,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24893621,FALSE,FALSE,TRUE,FALSE,"W912UM Won"
24893106,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496337,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
8496662,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
2893470,FALSE,FALSE,FALSE,TRUE,"Error: Corrected Administratively"
8413869,FALSE,FALSE,FALSE,TRUE,"Error: Corrected Other"
18504240,FALSE,FALSE,FALSE,TRUE,"Error: Corrected Other"
24685121,FALSE,FALSE,FALSE,TRUE,"Error: Corrected Other"
24798438,FALSE,FALSE,FALSE,TRUE,"Apparent Error: Uncorrected"
10060591,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
60378093,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
18192191,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
8665643,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
25049082,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
1286145,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
2362527,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
27649914,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
8666052,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
8114536,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
24799263,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
9991108,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
61815629,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
2970558,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
8413827,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
3229787,FALSE,FALSE,FALSE,FALSE,"Passed Examination"
24892349,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496473,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
24892352,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893482,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893559,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
26328741,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893608,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435864,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435842,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26435850,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893172,TRUE,FALSE,TRUE,FALSE,"W912UM Won"
26435878,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893308,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
8496510,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
26328634,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893212,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893332,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893410,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893334,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
24893035,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
28553220,TRUE,FALSE,FALSE,FALSE,"W912UM Won"
