DATE,A191RD3A086NBEA
1929-01-01,9.418
1930-01-01,9.073
1931-01-01,8.141
1932-01-01,7.188
1933-01-01,6.989
1934-01-01,7.371
1935-01-01,7.523
1936-01-01,7.615
1937-01-01,7.941
1938-01-01,7.714
1939-01-01,7.639
1940-01-01,7.731
1941-01-01,8.253
1942-01-01,8.909
1943-01-01,9.316
1944-01-01,9.538
1945-01-01,9.785
1946-01-01,11.047
1947-01-01,12.259
1948-01-01,12.947
1949-01-01,12.926
1950-01-01,13.087
1951-01-01,14.014
1952-01-01,14.256
1953-01-01,14.429
1954-01-01,14.563
1955-01-01,14.809
1956-01-01,15.313
1957-01-01,15.821
1958-01-01,16.181
1959-01-01,16.403
1960-01-01,16.627
1961-01-01,16.804
1962-01-01,17.009
1963-01-01,17.204
1964-01-01,17.466
1965-01-01,17.786
1966-01-01,18.284
1967-01-01,18.815
1968-01-01,19.616
1969-01-01,20.578
1970-01-01,21.663
1971-01-01,22.762
1972-01-01,23.746
1973-01-01,25.047
1974-01-01,27.301
1975-01-01,29.829
1976-01-01,31.471
1977-01-01,33.426
1978-01-01,35.778
1979-01-01,38.746
1980-01-01,42.246
1981-01-01,46.243
1982-01-01,49.1
1983-01-01,51.023
1984-01-01,52.864
1985-01-01,54.536
1986-01-01,55.634
1987-01-01,57.01
1988-01-01,59.021
1989-01-01,61.335
1990-01-01,63.631
1991-01-01,65.783
1992-01-01,67.282
1993-01-01,68.877
1994-01-01,70.347
1995-01-01,71.823
1996-01-01,73.138
1997-01-01,74.399
1998-01-01,75.236
1999-01-01,76.296
2000-01-01,78.025
2001-01-01,79.783
2002-01-01,81.026
2003-01-01,82.625
2004-01-01,84.843
2005-01-01,87.504
2006-01-01,90.204
2007-01-01,92.642
2008-01-01,94.419
2009-01-01,95.024
2010-01-01,96.166
2011-01-01,98.164
2012-01-01,100.0
2013-01-01,101.751
2014-01-01,103.654
2015-01-01,104.691
2016-01-01,105.74
2017-01-01,107.749
2018-01-01,110.339
2019-01-01,112.318
2020-01-01,113.784
2021-01-01,118.895
2022-01-01,127.224
