"hts10","hts_description","USITC.Tier","PlatformPortfolio.USITC","PlatformPortfolio.Ordnance","PlatformPortfolio","PlatformPortfolio2","PlatformPortfolio3","ArmsDual","ClassificationJustification","Total","MinOfYear","MaxOfYear","Invalid","end_use","minyear","maxyear","mincid","maxcid","sitc","end_use_import","end_use_export","ag_code","sic","naics","hitech","flow","ATP"
"3603.00.0000","SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS, IGNITERS; ELECTRIC DETONATORS","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,5121318179,1989,2019,FALSE,"12770",2016,2019,2018-06-01,2019-03-01,"59320",NA,"12770","1",NA,"325920","00","Export",NA
"3603.10.0000","Safety fuses","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.20.0000","Detonating cords","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.30.0000","Percussion caps","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.40.0000","Detonating caps","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.50.0000","Igniters","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603.60.0000","Electric detonators","Parts and Accessories","Ordnance and Missiles","Other Munitions","Ordnance and Missiles",NA,NA,"Arms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4011.30.0000","NEW PNEUMATIC TIRES, OF RUBBER, USED ON AIRCRAFT","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Dual",NA,862215094,1989,2008,FALSE,"22010",1989,2019,1994-07-01,2019-03-01,"62530",NA,"22010","1","3011","326211","00","Export",NA
"4011.30.0050","NEW PNEUMATIC TIRES, OF RUBBER, USED ON AIRCRAFT, EXCEPT CIVIL AIRCRAFT USE","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,NA,NA,NA,NA,"50000",1989,2019,1993-07-01,2019-03-01,"62530","50000",NA,"1","3011","326211","00","Import",NA
"4012.10.1050","RETREADED TIRES OF RUBBER, FOR USE IN AIRCRAFT, EXC CIVIL AIRCRAFT, NESOI",NA,"Aerospace","Aerospace","Aircraft",NA,NA,"Arms","hts description",NA,1989,2001,FALSE,"50000",1989,2001,1993-07-01,2002-02-01,"62592","50000",NA,"1","9200","326212","00","Import",NA
"4012.10.5020","RETREADED TIRES, OF RUBBER, FOR ON-THE-HIGHWAY TRUCK AND BUS","Parts and Accessories","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,47764848,1989,2001,FALSE,"30220",1989,2001,1994-07-01,2002-02-01,"62592",NA,"30220","1","9200","326212","00","Export",NA
"4012.10.6000","RETREADED TIRES, OF RUBBER, EXCEPT FOR ON-THE-HIGHWAY TRUCK AND BUS, NESOI","Parts and Accessories","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,117897819,1989,2001,FALSE,"30220",1989,2001,1994-07-01,2002-02-01,"62592",NA,"30220","1","9200","326212","00","Export",NA
"4012.13.0000","RETREADED TIRES OF RUBBER,  OF A KIND USED ON AIRCRAFT","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Dual",NA,33230298,2002,2008,NA,"22010",2002,2019,2003-02-01,2019-03-01,"62592",NA,"22010","1",NA,"326212","00","Export",NA
"4012.13.0050","RETREADED TIRES OF RUBBER,  OF A KIND USED ON AIRCRAFT, EXCEPT CIVIL AIRCRAFT USE","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,NA,NA,NA,FALSE,"50000",2002,2019,2003-02-01,2019-03-01,"62592","50000",NA,"1",NA,"326212","00","Import",NA
"4012.20.0000","USED PNEUMATIC TIRES OF RUBBER","Parts and Accessories","Cross-Platform","Cross-Platform","Land Vehicles","Aircraft",NA,"Dual",NA,660678579,1989,2019,NA,"30220",1989,2019,1994-07-01,2019-03-01,"62593",NA,"30220","1","9200","Mixed","00","Export",NA
"4012.20.1050","USED PNEUMATIC TIRES OF RUBBER,  OF A KIND USED ON AIRCRAFT, EXCEPT CIVIL AIRCRAFT USE","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,NA,NA,NA,FALSE,"50000",1989,2019,1993-07-01,2019-03-01,"62593","50000",NA,"1","9200","Mixed","00","Import",NA
"8407.10.0090","SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON TYPE AIRCRAFT ENGINES, EXCEPT CIVIL AIRCRAFT USE","Parts and Accessories","Aerospace","Aerospace","Aircraft",NA,NA,"Arms",NA,2962650771,1989,2019,FALSE,"Mixed",1989,2019,1993-07-01,2019-03-01,"71311","50000","50020","1","3724","336412","00","Both",NA
"8407.21.0000","OUTBOARD ENGINES FOR MARINE PROPULSION","Engines","Ships & Submarines","Ships & Submarines","Ships/Subs",NA,NA,"Dual",NA,7527570416,1989,2019,FALSE,"41110",1989,2019,1994-07-01,2019-03-01,"71331",NA,"41110","1","3519","333618","00","Export",NA
"8407.29.0010","SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES FOR MARINE PROPULSION, INBOARD ENGINES WITH OUTBOARD DRIVE","Engines","Ships & Submarines","Ships & Submarines","Ships/Subs",NA,NA,"Dual",NA,1394212178,1989,2019,FALSE,"41110",1989,2019,1993-07-01,2019-03-01,"71332","41110","41110","1","3519","333618","00","Both",NA
"8407.29.0050","INBOARD ENGINES WITH INBOARD DRIVE FOR MARINE PROPULSION","Engines","Ships & Submarines","Ships & Submarines","Ships/Subs",NA,NA,"Dual",NA,362178591,1989,2019,FALSE,"41110",1989,2019,1994-07-01,2019-03-01,"71332",NA,"41110","1","3519","333618","00","Export",NA
"8407.31.0000","SPARK-IGNITION RECIPROCATING PISTON ENGINES OF A KIND USED FOR THE PROPULSION OF VEHICLES OF CHAPTER 87, NOT EXCEEDING 50 CC CYLINDER CAPACITY","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,44575845,1989,2019,FALSE,"Mixed",1989,2019,1994-07-01,2019-03-01,"71321",NA,"Mixed","1","Mixed","333618","00","Export",NA
"8407.32.2000","SPARK-IGNITION PISTON ENGINES EXCEEDING 50 CC BUT NOT EXCEEDING 250 CC,TO BE INSTALLED IN ROAD TRACTORS,MOTOR BUSES,AUTOMOBILES OR TRUCKS,NEW OR USED","Engines","Land Vehicles","Land Vehicles","Land Vehicles",NA,NA,"Dual",NA,107219935,1989,2019,FALSE,"30200",1996,2019,2001-02-01,2019-03-01,"71321",NA,"30200","1","3714","Mixed","00","Export",NA
