"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency Name","Contracting Agency ID","Action Obligation","Actions"
"2005","0300","LIBRARY OF CONGRESS","LIBRARY OF CONGRESS","0300","$0.00","23"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","EXECUTIVE OFFICE OF THE PRESIDENT","1100","$34,188,271.83","864"
"2005","1145","PEACE CORPS","PEACE CORPS","1145","$50,401,261.21","1,385"
"2005","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AGENCY FOR INTERNATIONAL DEVELOPMENT","1152","$566,603.67","4"
"2005","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","$11,033,172.48","237"
"2005","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL MARKETING SERVICE","12K2","$855,999,951.35","1,383"
"2005","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","1230","$0.00","1"
"2005","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","12H2","$218,854,133.15","2,498"
"2005","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURE, DEPARTMENT OF","1200","$3,000.00","1"
"2005","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","12K3","$93,769,138.84","2,887"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","12D2","$1,254,253,480.31","1,972"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","12F2","$48,978,823.95","298"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","1252","$0.00","1"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","12G2","$28,028,827.32","794"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOREIGN AGRICULTURAL SERVICE","12D3","$1,457,068.07","8"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","12C2","$1,143,978,684.22","18,268"
"2005","1200","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","12C3","$116,738,910.05","1,320"
"2005","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1204","$3,497,611.53","55"
"2005","1200","AGRICULTURE, DEPARTMENT OF","RURAL HOUSING SERVICE","12E3","$68,885,548.91","5,756"
"2005","1200","AGRICULTURE, DEPARTMENT OF","RURAL UTILITIES SERVICE","12E2","-$269,023.36","7"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, ASSISTANT SECRETARY FOR ADMINISTRATION","12B0","$197,927,010.38","1,262"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT","12B0","$13,063,568.05","39"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF OPERATIONS","1215","$1,325,400.00","1"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER","1205","$15,340,044.66","349"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF INFORMATION OFFICER","12A7","$2,280,284.64","32"
"2005","1300","COMMERCE, DEPARTMENT OF","BUREAU OF THE CENSUS","1323","$237,939,538.18","2,875"
"2005","1300","COMMERCE, DEPARTMENT OF","COMMERCE, DEPARTMENT OF","1300","$0.00","1"
"2005","1300","COMMERCE, DEPARTMENT OF","INTERNATIONAL TRADE ADMINISTRATION","1350","$56,509.56","1"
"2005","1300","COMMERCE, DEPARTMENT OF","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","1341","$159,214,519.03","5,949"
"2005","1300","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","1330","$928,849,135.61","15,867"
"2005","1300","COMMERCE, DEPARTMENT OF","NATIONAL TECHNICAL INFORMATION SERVICE","1342","$236,952.40","2"
"2005","1300","COMMERCE, DEPARTMENT OF","OFFICE OF THE SECRETARY","1301","$212,846,456.41","1,185"
"2005","1300","COMMERCE, DEPARTMENT OF","PATENT AND TRADEMARK OFFICE","1344","$524,348,959.16","2,770"
"2005","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","1450","$285,367,089.09","6,923"
"2005","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF LAND MANAGEMENT","1422","$307,918,790.09","13,682"
"2005","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF OCEAN ENERGY MANAGEMENT","1435","$1,462,557,655.78","11,786"
"2005","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF RECLAMATION","1425","$316,222,310.16","6,578"
"2005","1400","INTERIOR, DEPARTMENT OF THE","GEOLOGICAL SURVEY","1434","$216,145,710.61","8,767"
"2005","1400","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","1443","$607,626,856.58","17,424"
"2005","1400","INTERIOR, DEPARTMENT OF THE","OFFICE OF POLICY, BUDGET AND ADMINISTRATION","1406","$1,479,071,475.84","8,343"
"2005","1400","INTERIOR, DEPARTMENT OF THE","OFFICE OF POLICY, MANAGEMENT, AND BUDGET","1406","$64,900.00","6"
"2005","1400","INTERIOR, DEPARTMENT OF THE","OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","1438","$14,441,565.57","999"
"2005","1400","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","1448","$233,653,515.08","15,534"
"2005","1500","JUSTICE, DEPARTMENT OF","ATF ACQUISITION AND PROPERTY MGMT DIV","1560","$144,053,567.14","2,053"
"2005","1500","JUSTICE, DEPARTMENT OF","DRUG ENFORCEMENT ADMINISTRATION","1524","$311,625,449.61","7,334"
"2005","1500","JUSTICE, DEPARTMENT OF","FEDERAL BUREAU OF INVESTIGATION","1549","$596,770,815.72","1,709"
"2005","1500","JUSTICE, DEPARTMENT OF","FEDERAL PRISON SYSTEM","1540","$1,898,160,443.16","72,168"
"2005","1500","JUSTICE, DEPARTMENT OF","JUSTICE, DEPARTMENT OF","1500","$0.00","6"
"2005","1500","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","1550","$80,661,393.88","515"
"2005","1500","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","1501","$1,167,853,699.39","3,691"
"2005","1500","JUSTICE, DEPARTMENT OF","U.S. MARSHALS SERVICE","1544","$335,812,323.91","1,276"
"2005","1600","LABOR, DEPARTMENT OF","BUREAU OF INTERNATIONAL LABOR AFFAIRS","1609","$33,536.00","5"
"2005","1600","LABOR, DEPARTMENT OF","BUREAU OF LABOR STATISTICS","1625","$63,522,883.70","1,156"
"2005","1600","LABOR, DEPARTMENT OF","EMPLOYEE BENEFITS SECURITY ADMINISTRATION","1621","$51,344.00","6"
"2005","1600","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","1630","$1,233,558,267.56","1,941"
"2005","1600","LABOR, DEPARTMENT OF","EMPLOYMENT STANDARDS ADMINISTRATION","1635","$2,961,264.92","42"
"2005","1600","LABOR, DEPARTMENT OF","IMMEDIATE OFFICE OF THE SECRETARY OF LABOR","1601","$122,422.00","12"
"2005","1600","LABOR, DEPARTMENT OF","MINE SAFETY AND HEALTH ADMINISTRATION","1645","$23,391,132.46","837"
"2005","1600","LABOR, DEPARTMENT OF","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION","1650","$3,137,827.31","34"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF ADMINISTRATIVE LAW JUDGES","1613","$305,799.00","37"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF INFORMATION AND PUBLIC AFFAIRS","1608","$67,824.00","4"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1604","$4,690,409.61","99"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT","1605","$287,744,862.65","4,279"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF THE CHIEF FINANCIAL OFFICER","1622","$553,878.00","22"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF THE SOLICITOR","1603","$380,508.49","13"
"2005","1600","LABOR, DEPARTMENT OF","PENSION BENEFIT GUARANTY CORPORATION","1665","$103,370,526.11","48"
"2005","1600","LABOR, DEPARTMENT OF","VETERANS EMPLOYMENT AND TRAINING SERVICES","1653","$12,035.00","2"
"2005","1900","STATE, DEPARTMENT OF","INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO","19BM","$0.00","1"
"2005","1900","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","1900","$5,893,385,964.21","174,482"
"2005","2000","TREASURY, DEPARTMENT OF THE","ALCOHOL AND TOBACCO TAX AND TRADE BUREAU","2022","$10,192,465.00","6"
"2005","2000","TREASURY, DEPARTMENT OF THE","BUREAU OF ENGRAVING AND PRINTING","2041","$200,321,543.68","1,062"
"2005","2000","TREASURY, DEPARTMENT OF THE","BUREAU OF THE PUBLIC DEBT","2036","$858,196,046.13","53,765"
"2005","2000","TREASURY, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","2001","$102,661,238.53","878"
"2005","2000","TREASURY, DEPARTMENT OF THE","FINANCIAL MANAGEMENT SERVICE","2033","$95,710,534.92","1,186"
"2005","2000","TREASURY, DEPARTMENT OF THE","INTERNAL REVENUE SERVICE","2050","$1,585,063,349.69","12,665"
"2005","2000","TREASURY, DEPARTMENT OF THE","OFFICE OF THE COMPTROLLER OF THE CURRENCY","2046","$86,070,612.14","831"
"2005","2000","TREASURY, DEPARTMENT OF THE","OFFICE OF THRIFT SUPERVISION","2047","$9,898,653.10","232"
"2005","2000","TREASURY, DEPARTMENT OF THE","TREASURY, DEPARTMENT OF THE","2000","$2,245,484.36","22"
"2005","2000","TREASURY, DEPARTMENT OF THE","UNITED STATES MINT","2044","$698,133,508.75","1,366"
"2005","2400","OFFICE OF PERSONNEL MANAGEMENT","OFFICE OF PERSONNEL MANAGEMENT","2400","$284,748,390.25","5,188"
"2005","2700","FEDERAL COMMUNICATIONS COMMISSION","FEDERAL COMMUNICATIONS COMMISSION","2700","$73,004,636.88","931"
"2005","2800","SOCIAL SECURITY ADMINISTRATION","SOCIAL SECURITY ADMINISTRATION","2800","$880,654,716.55","8,432"
"2005","2900","FEDERAL TRADE COMMISSION","FEDERAL TRADE COMMISSION","2900","$4,539,005.77","216"
"2005","3100","NUCLEAR REGULATORY COMMISSION","NUCLEAR REGULATORY COMMISSION","3100","$111,395,483.50","1,930"
"2005","3300","SMITHSONIAN INSTITUTION","SMITHSONIAN INSTITUTION","3300","$252,271,721.69","863"
"2005","3352","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","3352","$17,410,945.84","141"
"2005","3355","NATIONAL GALLERY OF ART","NATIONAL GALLERY OF ART","3355","$20,438,694.46","81"
