"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$930,000.00","5"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5815","TELETYPE AND FACSIMILE EQUIPMENT","$32,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$236,000.00","4"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7020","ADP CENTRAL PROCESSING UNIT-ANALOG","$1,428,000.00","13"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7021","ADP CENTRAL PROCESSING UNIT-DIGITAL","$1,022,000.00","3"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7025","ADP INPUT/OUTPUT & STORAGE DEVICES","$164,000.00","5"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$98,000.00","3"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7035","ADP SUPPORT EQUIPMENT","$27,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7042","MINI & MICRO COMPUTER CONT DEVICES","$135,000.00","3"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7050","ADP COMPONENTS","$113,000.00","3"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7450","OFFICE SOUND RECORDING REPRO MACH","$328,000.00","8"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7490","MISCELLANEOUS OFFICE MACHINES","$44,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D301","ADP FACILITY MANAGEMENT","$4,704,000.00","5"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D302","ADP SYSTEMS DEVELOPMENT SERVICES","$835,000.00","10"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D306","ADP SYSTEMS ANALYSIS SERVICES","$278,000.00","4"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D307","AUTOMATED INFORMATION SYSTEM SVCS","$86,000.00","2"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D308","PROGRAMMING SERVICES","$92,000.00","3"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D309","ADP INF, BROADCAST & DIST SVCS","$47,000.00","2"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D310","ADP BACKUP AND SECURITY SERVICES","$162,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D317","AUTO NEWS, DATA & OTHER SVCS","$30,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D399","OTHER ADP & TELECOMMUNICATIONS SVCS","$32,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","G099","OTHER SOCIAL SERVICES","$49,000.00","2"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","J036","MAINT-REP OF SP INDUSTRY MACHINERY","$153,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","J070","MAINT-REP OF ADP EQ & SUPPLIES","$507,000.00","6"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R406","POLICY REVIEW/DEVELOPMENT SERVICES","$2,567,000.00","3"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R415","PROF SVCS/TECH SHARING-UTIL","$431,000.00","3"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R418","LEGAL SERVICES","$54,000.00","4"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R499","OTHER PROFESSIONAL SERVICES","$383,000.00","3"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","S206","GUARD SERVICES","$467,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","W070","LEASE-RENT OF ADP EQ & SUPPLIES","$565,000.00","2"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","W099","LEASE-RENT OF MISC EQ","$35,000.00","1"
"1994","1100","EXECUTIVE OFFICE OF THE PRESIDENT","Z249","MAINT-REP-ALT/OTHER UTILITIES","$142,000.00","2"
"1994","1145","PEACE CORPS","2310","PASSENGER MOTOR VEHICLES","$160,000.00","5"
"1994","1145","PEACE CORPS","2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES","$27,000.00","1"
"1994","1145","PEACE CORPS","6115","GENERATORS & GENERATOR SETS ELECT","$119,000.00","2"
"1994","1145","PEACE CORPS","7010","ADPE SYSTEM CONFIGURATION","$390,000.00","2"
"1994","1145","PEACE CORPS","7035","ADP SUPPORT EQUIPMENT","$30,000.00","1"
"1994","1145","PEACE CORPS","7610","BOOKS AND PAMPHLETS","$325,000.00","6"
"1994","1145","PEACE CORPS","7630","NEWSPAPERS AND PERIODICALS","$1,245,000.00","3"
"1994","1145","PEACE CORPS","8945","FOOD, OILS AND FATS","$47,000.00","1"
"1994","1145","PEACE CORPS","D301","ADP FACILITY MANAGEMENT","$981,000.00","10"
"1994","1145","PEACE CORPS","D302","ADP SYSTEMS DEVELOPMENT SERVICES","$745,000.00","6"
"1994","1145","PEACE CORPS","D304","ADP SVCS/TELECOMM & TRANSMISSION","$45,000.00","2"
"1994","1145","PEACE CORPS","Q201","GENERAL HEALTH CARE SERVICES","$456,000.00","12"
"1994","1145","PEACE CORPS","Q401","NURSING SERVICES","$45,000.00","1"
"1994","1145","PEACE CORPS","Q503","DENTISTRY SERVICES","$125,000.00","2"
"1994","1145","PEACE CORPS","R407","PROGRAM EVALUATION SERVICES","-$2,000.00","1"
"1994","1145","PEACE CORPS","R497","PERSONAL SERVICES CONTRACTS","$2,383,000.00","46"
"1994","1145","PEACE CORPS","R602","COURIER AND MESSENGER SERVICES","$91,000.00","3"
"1994","1145","PEACE CORPS","R604","MAILING AND DISTRIBUTION SERVICES","$190,000.00","1"
"1994","1145","PEACE CORPS","R699","OTHER ADMINISTRATIVE SUPPORT SVCS","$350,000.00","6"
"1994","1145","PEACE CORPS","R701","ADVERTISING SERVICES","$98,000.00","4"
"1994","1145","PEACE CORPS","R702","DATA COLLECTION SERVICES","$20,000.00","1"
"1994","1145","PEACE CORPS","R703","ACCOUNTING SERVICES","$745,000.00","1"
"1994","1145","PEACE CORPS","R799","OTHER MANAGEMENT SUPPORT SERVICES","$440,000.00","5"
"1994","1145","PEACE CORPS","S201","CUSTODIAL JANITORIAL SERVICES","$76,000.00","1"
"1994","1145","PEACE CORPS","S206","GUARD SERVICES","$128,000.00","2"
"1994","1145","PEACE CORPS","T006","FILM/VIDEO TAPE PRODUCTION SERVICES","$219,000.00","2"
"1994","1145","PEACE CORPS","U006","VOCATIONAL/TECHNICAL","$7,305,000.00","27"
"1994","1145","PEACE CORPS","U008","TRAINING/CURRICULUM DEVELOPMENT","$369,000.00","4"
"1994","1145","PEACE CORPS","V231","LODGING - HOTEL/MOTEL","$702,000.00","11"
