"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency Name","Contracting Agency ID","Action Obligation","Actions"
"2005","0300","LIBRARY OF CONGRESS","LIBRARY OF CONGRESS","0300","$0.00","7"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","EXECUTIVE OFFICE OF THE PRESIDENT","1100","$19,826,584.66","425"
"2005","1145","PEACE CORPS","PEACE CORPS","1145","$39,017,614.64","725"
"2005","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AGENCY FOR INTERNATIONAL DEVELOPMENT","1152","$271,710.37","2"
"2005","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","$10,954,242.56","229"
"2005","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","1230","$0.00","1"
"2005","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","12H2","$184,831,365.16","1,654"
"2005","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURE, DEPARTMENT OF","1200","$3,000.00","1"
"2005","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","12K3","$43,261,445.78","899"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","12D2","$120,418,522.36","461"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","12F2","$42,819,985.43","222"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","1252","$0.00","1"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","12G2","$17,141,441.55","505"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOREIGN AGRICULTURAL SERVICE","12D3","$261,014.00","5"
"2005","1200","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","12C2","$1,021,398,014.87","14,124"
"2005","1200","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","12C3","$109,005,243.56","1,104"
"2005","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1204","$2,549,079.20","42"
"2005","1200","AGRICULTURE, DEPARTMENT OF","RURAL HOUSING SERVICE","12E3","$61,414,531.55","4,321"
"2005","1200","AGRICULTURE, DEPARTMENT OF","RURAL UTILITIES SERVICE","12E2","-$270,152.62","5"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, ASSISTANT SECRETARY FOR ADMINISTRATION","12B0","$141,149,729.75","826"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT","12B0","$8,763,591.50","14"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF OPERATIONS","1215","$1,325,400.00","1"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER","1205","$9,893,998.39","131"
"2005","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF INFORMATION OFFICER","12A7","$451,413.62","9"
"2005","1300","COMMERCE, DEPARTMENT OF","BUREAU OF THE CENSUS","1323","$172,756,913.62","1,815"
"2005","1300","COMMERCE, DEPARTMENT OF","COMMERCE, DEPARTMENT OF","1300","$0.00","1"
"2005","1300","COMMERCE, DEPARTMENT OF","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","1341","$106,495,448.75","2,757"
"2005","1300","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","1330","$743,128,568.25","10,239"
"2005","1300","COMMERCE, DEPARTMENT OF","NATIONAL TECHNICAL INFORMATION SERVICE","1342","$236,952.40","2"
"2005","1300","COMMERCE, DEPARTMENT OF","OFFICE OF THE SECRETARY","1301","$206,580,182.38","936"
"2005","1300","COMMERCE, DEPARTMENT OF","PATENT AND TRADEMARK OFFICE","1344","$350,865,987.28","1,331"
"2005","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","1450","$227,776,769.67","3,854"
"2005","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF LAND MANAGEMENT","1422","$229,272,871.12","9,165"
"2005","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF OCEAN ENERGY MANAGEMENT","1435","$1,185,876,016.60","5,448"
"2005","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF RECLAMATION","1425","$246,261,437.49","4,001"
"2005","1400","INTERIOR, DEPARTMENT OF THE","GEOLOGICAL SURVEY","1434","$153,691,480.27","5,098"
"2005","1400","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","1443","$485,564,663.06","9,756"
"2005","1400","INTERIOR, DEPARTMENT OF THE","OFFICE OF POLICY, BUDGET AND ADMINISTRATION","1406","$1,310,543,008.05","6,798"
"2005","1400","INTERIOR, DEPARTMENT OF THE","OFFICE OF POLICY, MANAGEMENT, AND BUDGET","1406","$2,096,184.00","9"
"2005","1400","INTERIOR, DEPARTMENT OF THE","OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","1438","$12,474,955.25","805"
"2005","1400","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","1448","$160,466,229.34","8,545"
"2005","1500","JUSTICE, DEPARTMENT OF","ATF ACQUISITION AND PROPERTY MGMT DIV","1560","$111,436,641.55","919"
"2005","1500","JUSTICE, DEPARTMENT OF","DRUG ENFORCEMENT ADMINISTRATION","1524","$169,892,022.83","5,002"
"2005","1500","JUSTICE, DEPARTMENT OF","FEDERAL BUREAU OF INVESTIGATION","1549","$310,277,178.70","684"
"2005","1500","JUSTICE, DEPARTMENT OF","FEDERAL PRISON SYSTEM","1540","$1,253,852,168.35","24,822"
"2005","1500","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","1550","$74,990,459.02","432"
"2005","1500","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","1501","$916,552,712.95","3,048"
"2005","1500","JUSTICE, DEPARTMENT OF","U.S. MARSHALS SERVICE","1544","$265,922,101.05","1,043"
"2005","1600","LABOR, DEPARTMENT OF","BUREAU OF INTERNATIONAL LABOR AFFAIRS","1609","$10,000.00","1"
"2005","1600","LABOR, DEPARTMENT OF","BUREAU OF LABOR STATISTICS","1625","$54,154,388.40","451"
"2005","1600","LABOR, DEPARTMENT OF","EMPLOYEE BENEFITS SECURITY ADMINISTRATION","1621","$34,012.00","4"
"2005","1600","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","1630","$1,231,855,493.56","1,783"
"2005","1600","LABOR, DEPARTMENT OF","EMPLOYMENT STANDARDS ADMINISTRATION","1635","$2,675,316.38","19"
"2005","1600","LABOR, DEPARTMENT OF","IMMEDIATE OFFICE OF THE SECRETARY OF LABOR","1601","$45,000.00","4"
"2005","1600","LABOR, DEPARTMENT OF","MINE SAFETY AND HEALTH ADMINISTRATION","1645","$16,996,912.61","582"
"2005","1600","LABOR, DEPARTMENT OF","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION","1650","$2,723,427.32","17"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF ADMINISTRATIVE LAW JUDGES","1613","$177,235.00","18"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF INFORMATION AND PUBLIC AFFAIRS","1608","$5,000.00","1"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1604","$4,351,857.61","51"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT","1605","$258,615,510.76","2,288"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF THE CHIEF FINANCIAL OFFICER","1622","$274,996.00","9"
"2005","1600","LABOR, DEPARTMENT OF","OFFICE OF THE SOLICITOR","1603","$212,778.00","5"
"2005","1600","LABOR, DEPARTMENT OF","PENSION BENEFIT GUARANTY CORPORATION","1665","$99,270,517.69","44"
"2005","1600","LABOR, DEPARTMENT OF","VETERANS EMPLOYMENT AND TRAINING SERVICES","1653","$12,035.00","2"
"2005","1900","STATE, DEPARTMENT OF","INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO","19BM","$0.00","1"
"2005","1900","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","1900","$4,995,202,564.52","22,873"
"2005","2000","TREASURY, DEPARTMENT OF THE","ALCOHOL AND TOBACCO TAX AND TRADE BUREAU","2022","$10,192,465.00","6"
"2005","2000","TREASURY, DEPARTMENT OF THE","BUREAU OF ENGRAVING AND PRINTING","2041","$73,506,053.53","324"
"2005","2000","TREASURY, DEPARTMENT OF THE","BUREAU OF THE PUBLIC DEBT","2036","$810,263,953.39","47,467"
"2005","2000","TREASURY, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","2001","$69,645,937.43","739"
"2005","2000","TREASURY, DEPARTMENT OF THE","FINANCIAL MANAGEMENT SERVICE","2033","$50,376,972.17","590"
"2005","2000","TREASURY, DEPARTMENT OF THE","INTERNAL REVENUE SERVICE","2050","$1,233,015,667.33","8,304"
"2005","2000","TREASURY, DEPARTMENT OF THE","OFFICE OF THE COMPTROLLER OF THE CURRENCY","2046","$74,230,322.55","645"
"2005","2000","TREASURY, DEPARTMENT OF THE","OFFICE OF THRIFT SUPERVISION","2047","$8,517,587.49","144"
"2005","2000","TREASURY, DEPARTMENT OF THE","TREASURY, DEPARTMENT OF THE","2000","$2,094,798.19","15"
"2005","2000","TREASURY, DEPARTMENT OF THE","UNITED STATES MINT","2044","$74,288,986.18","513"
"2005","2400","OFFICE OF PERSONNEL MANAGEMENT","OFFICE OF PERSONNEL MANAGEMENT","2400","$263,809,859.74","5,054"
"2005","2700","FEDERAL COMMUNICATIONS COMMISSION","FEDERAL COMMUNICATIONS COMMISSION","2700","$58,346,153.78","540"
"2005","2800","SOCIAL SECURITY ADMINISTRATION","SOCIAL SECURITY ADMINISTRATION","2800","$550,931,439.81","5,544"
"2005","2900","FEDERAL TRADE COMMISSION","FEDERAL TRADE COMMISSION","2900","$2,186,243.77","94"
"2005","3100","NUCLEAR REGULATORY COMMISSION","NUCLEAR REGULATORY COMMISSION","3100","$101,710,507.56","1,255"
"2005","3300","SMITHSONIAN INSTITUTION","SMITHSONIAN INSTITUTION","3300","$240,866,829.16","832"
"2005","3352","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","3352","$16,938,829.12","116"
"2005","3355","NATIONAL GALLERY OF ART","NATIONAL GALLERY OF ART","3355","$19,508,972.61","53"
"2005","3400","INTERNATIONAL TRADE COMMISSION","INTERNATIONAL TRADE COMMISSION","3400","$3,532,208.25","35"
"2005","3600","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","3600","$3,599,211,194.18","111,798"
"2005","4100","MERIT SYSTEMS PROTECTION BOARD","MERIT SYSTEMS PROTECTION BOARD","4100","$1,898,995.02","49"
"2005","4500","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","4500","$45,269,178.21","3,660"
"2005","4700","GENERAL SERVICES ADMINISTRATION","FEDERAL ACQUISITION SERVICE","4730","$132,229,727.83","3,541"
"2005","4700","GENERAL SERVICES ADMINISTRATION","FEDERAL ACQUISITION SERVICE","4735","$4,760,138,319.61","17,195"
"2005","4700","GENERAL SERVICES ADMINISTRATION","GENERAL SERVICES ADMINISTRATION","4700","$75,631.33","8"
"2005","4700","GENERAL SERVICES ADMINISTRATION","OFFICE OF THE ADMINISTRATOR(ACMD)","4705","$14,925.25","1"
"2005","4700","GENERAL SERVICES ADMINISTRATION","OFFICE OF THE CHIEF ACQUISITION OFFICER","4745","$78,859,082.94","472"
"2005","4700","GENERAL SERVICES ADMINISTRATION","PUBLIC BUILDINGS SERVICE","4740","$6,764,766,952.36","143,310"
"2005","4900","NATIONAL SCIENCE FOUNDATION","NATIONAL SCIENCE FOUNDATION","4900","$317,912,546.08","961"
"2005","5000","SECURITIES AND EXCHANGE COMMISSION","SECURITIES AND EXCHANGE COMMISSION","5000","$72,673,383.27","373"
"2005","5920","NATIONAL ENDOWMENT FOR THE ARTS","NATIONAL ENDOWMENT FOR THE ARTS","5920","$975,619.89","42"
"2005","5940","NATIONAL ENDOWMENT FOR THE HUMANITIES","NATIONAL ENDOWMENT FOR THE HUMANITIES","5940","$10,333.00","15"
"2005","6000","RAILROAD RETIREMENT BOARD","RAILROAD RETIREMENT BOARD","6000","$7,280,341.42","140"
"2005","6100","CONSUMER PRODUCT SAFETY COMMISSION","CONSUMER PRODUCT SAFETY COMMISSION","6100","$5,447,258.83","548"
