Country,Agreement_Name,Agreement_Start,Latest_Amendment,IsRDP,IncludesQA,Source,,
Australia,Reciprocal Defense Procurement (RDP),Apr-19-1995,Apr-11-2013,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-australia.pdf,,
Australia,Quality Assuarance (QA),Apr-19-1995,Apr-11-2013,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-australia.pdf,,
Austria,Reciprocal Defense Procurement (RDP),Sep-3-1991,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-austria.pdf,,
Belgium,"Mutual Cooperation in the Research, Development, Production, Procurement and Logistic Support of Defense Equipment",Dec-12-1979,Apr-26-1983,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-belgium.pdf,,
Canada,Procurement of Defense Supplies,Apr-1-1984,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-canada.pdf,,
Canada,MOU U.S.-Canada,Jul-27-1956,Apr-1-1984,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-canada.pdf,,
Canada,U.S-Canandian Defense Production Sharing Program,Nov-21-1963,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-canada.pdf,,
Czech Republic,Reciprocal Defense Procurement (RDP),Apr-18-2012,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-czech.pdf,,
Czech Republic,Quality Assuarance (QA),May-7-2004,,FALSE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-czech.pdf,,
Denmark,"Mutual Cooperation in the Research, Development, Production, Procurement and Logistic Support of Defense Equipment",Jan-30-1980,May-27-1994,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-denmark.pdf,,
Egypt,"Mutual Cooperation in the Research, Development, Procurement and Logistic Support of Defense Equipment",Mar-23-1988,Apr-15-1999,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-egypt.pdf,,
Estonia,Reciprocal Defense Procurement (RDP),Sep-23-2016,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-estonia.pdf,,
Finland,Reciprocal Defense Procurement (RDP),Nov-26-2018,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-finland.pdf,,
Finland,Quality Assuarance (QA),Nov-15-2016,,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/GQA_USA_FIN_2016.pdf,,
France,Reciprocal Purchases of Defense Equipment,May-22-1978,June-6-1990,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-france.pdf,,
Germany,"Mutual Cooperation in the Research, Development, Production, Procurement and Logistic Support of Defense Equipment",Oct-17-1978,Dec-4-1991,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-germany.pdf,,
Greece,Defense Industrial Cooperation ,Apr-4-1997,Sep-23-1992,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-greece.pdf,,
Israel,"Mutual Cooperation in Research and Development, Scientist and Engineer Exchange, Procurement and Logistic Support of Defense Eqipment",Jan-8-1998,May-7-2008,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-israel.pdf,https://www.acq.osd.mil/dpap/Docs/mou-isreal2008AnnexIV.pdf,https://www.acq.osd.mil/dpap/Docs/mou-isreal2008AnnexIV.pdf
Italy,Reciprocal Defense Procurement (RDP),Oct-20-2008,,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-italy.pdf,,
Japan,Reciprocal Defense Procurement (RDP),Jun-4-2016,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/EON%20for%20Japan.%20EON%20for%20US.%20US%20Japan%20RDP%20MOU%201.pdf,,
Korea,Quality Assuarance (QA),Dec-13-2011,,FALSE,TRUE,https://www.acq.osd.mil/dpap/cpic/ic/docs/US-KR_GQA_Annex_II_-_Signed_13_Dec_11.pdf,,
Latvia,Reciprocal Defense Procurement (RDP),Apr-10-2017,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-Latvia.pdf,,
Luxembourg,Reciprocal Defense Procurement (RDP),Oct-14-2010,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-luxembourg.pdf,,
Netherlands,"Cooperation in the Research and Development, Production and Procurement of Defense Equipment",Aug-24-1990,Oct-26-2005,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-netherlands.pdf,,
Norway,"Cooperation in the Research and Development, Production and Procurement of Defense Equipment",May-19-1978,May-8-1991,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-norway.pdf,,
Poland,Reciprocal Defense Procurement (RDP),Sep-8-2011,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-poland.pdf,,
Poland,Quality Assuarance (QA),Jun-22-2007,,FALSE,TRUE,https://www.acq.osd.mil/dpap/Docs/US-PolandQA-MOU-20070622.pdf,,
Portugal,"Mutual Cooperation in the Research, Development, Procurement and Logistic Support of Defense Equipment",Mar-28-1979,Jul-7-1980,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/mou-portugal.pdf,,
Romania,Quality Assuarance (QA),Dec-1-2015,,FALSE,TRUE,https://www.acq.osd.mil/dpap/cpic/ic/docs/Republic_of_Romania.pdf,,
Slovak Republic,Quality Assuarance (QA),Dec-8-2015,,FALSE,TRUE,https://www.acq.osd.mil/dpap/cpic/ic/docs/US-Slovak_GQA_signed_12-08-15.pdf,,
Slovenia,Reciprocal Defense Procurement (RDP),Apr-8-2016,,TRUE,FALSE,https://www.acq.osd.mil/dpap/Docs/RDP%20between%20USA%20and%20Slovenia.pdf,,
Spain,Quality Assuarance (QA),Jun-10-2014,,TRUE,TRUE,https://www.acq.osd.mil/dpap/cpic/ic/docs/mou-spain.pdf,,
Spain,Defense Industrial Cooperation ,Jul-2-1982,,TRUE,TRUE,https://www.acq.osd.mil/dpap/cpic/ic/docs/mou-spain.pdf,,
Sweden,Mutual Cooperation in the Defense Procurement Area,Jun-16-1987,Jun-26-2003,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-sweden.pdf,,
Switzerland,Reciprocal Defense Procurement (RDP),Feb-15-2007,,TRUE,FALSE,https://www.acq.osd.mil/dpap/paic/attachments/swiss-mou20070228.pdf,,
Turkey,Quality Assuarance (QA),Mar-12-2001,,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-turkey.pdf,,
Turkey,Defense Industrial Cooperation ,Mar-29-1980,,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/mou-turkey.pdf,,
UK,Reciprocal Defense Procurement (RDP),Dec-22-2017,,TRUE,TRUE,https://www.acq.osd.mil/dpap/Docs/paic/US-UK%20RDP%20MOU%20signed%2022%20Dec%202017%20USA003826-17.pdf,,
