geo,ISOalpha3,CountryName,SubRegion
AL,ALB,Albania,Other Central and Eastern
AT,AUT,Austria,Rest of EU27
BE,BEL,Belgium,Rest of EU27
BG,BGR,Bulgaria,Other Central and Eastern
BA,BIH,Bosnia & Herzegovina,Other Central and Eastern
CH,CHE,Switzerland,Switzerland
CY,CYP,Cyprus,Rest of EU27
CZ,CZE,Czech Republic,Other Central and Eastern
DE,DEU,Germany,Germany
DK,DNK,Denmark,Nordics
ES,ESP,Spain,Spain
EE,EST,Estonia,Baltics
FI,FIN,Finland,Nordics
FR,FRA,France,France
HR,HRV,Croatia,Other Central and Eastern
HU,HUN,Hungary,Other Central and Eastern
IE,IRL,Ireland,Rest of EU27
IS,ISL,Iceland,Nordics
IT,ITA,Italy,Italy
LT,LTU,Lithuania,Baltics
LU,LUX,Luxembourg,Rest of EU27
LV,LVA,Latvia,Baltics
MK,MKD,North Macedonia,Other Central and Eastern
MT,MLT,Malta,Rest of EU27
ME,MNE,Montenegro,Other Central and Eastern
NL,NLD,Netherlands,Rest of EU27
NO,NOR,Norway,Nordics
PL,POL,Poland,Poland
PT,PRT,Portugal,Rest of EU27
RO,ROU,Romania,Other Central and Eastern
RS,SRB,Serbia,Other Central and Eastern
SK,SVK,Slovakia,Other Central and Eastern
SI,SVN,Slovenia,Other Central and Eastern
SE,SWE,Sweden,Nordics
TR,TUR,Turkey,Turkey
EA,NULL,Euro area,Unlabeled
EA12,NULL,Euro area - 19 countries,Unlabeled
EA19,NULL,Euro area - 19 countries,Unlabeled
EA20,NULL,Euro area - 20 countries,Unlabeled
EL,GRC,Greece,Greece
EU15,NULL,Euro area - 15 countries,Unlabeled
EU27_2020,NULL,EU - 27 countries,Unlabeled
EU28,NULL,EU - 28 countries,Unlabeled
UK,GBR,United Kingdom,United Kingdom
XK,*KS,Kosovo,Other Central and Eastern
NULL,VGB,"Virgin Islands, British",United Kingdom
NULL,BMU,Bermuda,United Kingdom
NULL,MTQ,Martinique,France
NULL,PYF,French Polynesia,France
NULL,MAF,Saint Martin (French part),France
NULL,CYM,Cayman Islands,United Kingdom
NULL,WLF,Wallis and Futuna,France
NULL,GRL,Greenland,Nordics
NULL,TCA,Turks and Caicos Islands,United Kingdom
NULL,MSR,Montserrat,United Kingdom
NULL,MYT,Mayotte,France
NULL,AIA,Anguilla,United Kingdom
NULL,NCL,New Caledonia,France
NULL,PCN,Pitcairn,United Kingdom
NULL,FRO,Faroe Islands,Nordics
NULL,SHN,"Saint Helena, Ascension and Tristan da Cunha",United Kingdom
NULL,ATF,French Southern Territories,France
NULL,GIB,Gibraltar,United Kingdom
NULL,COK,Cook Islands,United Kingdom
NULL,REU,Réunion,France
NULL,IOT,British Indian Ocean Territory,United Kingdom
NULL,FLK,Falkland Islands (Malvinas),United Kingdom
NULL,NIU,Niue,United Kingdom
NULL,SJM,Svalbard and Jan Mayen,Nordics
NULL,UKR,Ukraine,Ukraine
