Fiscal_Year,Contracting_Agency_ID,ContractingOfficeID,MajorCommandID
1990,1700,AC5M0,ORG-2936
1990,1700,AD011,ORG-2936
1990,1700,AD035,ORG-2936
1990,1700,AD037,ORG-2936
1990,1700,AD059,ORG-2936
1990,1700,AD060,ORG-2936
1990,1700,AD070,ORG-2936
1990,1700,AD072,ORG-2936
1990,1700,AD075,ORG-2936
1990,1700,AD079,ORG-2936
1990,1700,AD108,ORG-2936
1990,1700,AD109,ORG-2936
1990,1700,AD118,ORG-2936
1990,1700,AD122,ORG-2936
1990,1700,AD124,ORG-2936
1990,1700,AD156,ORG-2936
1990,1700,AD161,ORG-2936
1990,1700,AD164,ORG-2936
1990,1700,AD170,ORG-2936
1990,1700,AD171,ORG-2936
1990,1700,AF400,ORG-2936
1990,1700,AF410,ORG-2936
1990,1700,AF412,ORG-2936
1990,1700,AF426,ORG-2936
1990,1700,AM626,ORG-2936
1990,1700,AM6A1,ORG-2936
1990,1700,BD303,ORG-2941
1990,1700,BD403,ORG-2941
1990,1700,BD603,ORG-2941
1990,1700,BH004,ORG-2941
1990,1700,BN227,ORG-2941
1990,1700,BN679,ORG-2941
1990,1700,BN907,ORG-2941
1990,1700,BS670,ORG-2941
1990,1700,BS673,ORG-2941
1990,1700,BS789,ORG-2941
1990,1700,BS791,ORG-2941
1990,1700,BS793,ORG-2941
1990,1700,BS798,ORG-2941
1990,1700,BS870,ORG-2941
1990,1700,BS990,ORG-2941
1990,1700,C0025,ORG-2940
1990,1700,C2467,ORG-2940
1990,1700,C2470,ORG-2940
1990,1700,C2472,ORG-2940
1990,1700,C2474,ORG-2940
1990,1700,C2477,ORG-2940
1990,1700,C2742,ORG-2940
1990,1700,C4255,ORG-2940
1990,1700,C7408,ORG-2940
1990,1700,C8711,ORG-2940
1990,1700,D1221,ORG-2944
1990,1700,E612A,ORG-2945
1990,1700,E612B,ORG-2945
1990,1700,E614A,ORG-2945
1990,1700,E614B,ORG-2945
1990,1700,F0243,ORG-2943
1990,1700,F0264,ORG-2943
1990,1700,F2204,ORG-2943
1990,1700,F7004,ORG-2943
1990,1700,F7399,ORG-2943
1990,1700,KA501,ORG-2937
1990,1700,KA503,ORG-2937
1990,1700,KA506,ORG-2937
1990,1700,KA508,ORG-2937
1990,1700,KA510,ORG-2937
1990,1700,KA513,ORG-2937
1990,1700,KA514,ORG-2937
1990,1700,RX500,ORG-2937
1990,1700,RX562,ORG-2937
1990,1700,TA10C,ORG-2937
1990,1700,TK530,ORG-2937
1990,1700,TK695,ORG-2937
1990,1700,TN517,ORG-2937
1990,1700,UB901,ORG-2937
1990,1700,WC603,ORG-2937
1990,1700,XDA01,ORG-2946
1990,1700,XSP01,ORG-2942
1990,1700,XSP02,ORG-2942
1990,2100,AB07,ORG-2877
1990,2100,AE30,ORG-2877
1990,2100,AH01,ORG-2877
1990,2100,CA43,ORG-2872
1990,5700,DA17,ORG-2837
1990,5700,QA09,ORG-2844
1990,5700,QA140,ORG-2844
1990,96CE,CW01,ORG-2757
1990,96CE,CW03,ORG-2757
1990,96CE,CW05,ORG-2757
1990,96CE,CW07,ORG-2757
1990,96CE,CW17,ORG-2757
1990,96CE,CW23,ORG-2757
1990,96CE,CW25,ORG-2757
1990,96CE,CW27,ORG-2757
1990,96CE,CW29,ORG-2757
1990,96CE,CW31,ORG-2757
1990,96CE,CW33,ORG-2757
1990,96CE,CW37,ORG-2757
1990,96CE,CW38,ORG-2757
1990,96CE,CW41,ORG-2757
1990,96CE,CW43,ORG-2757
1990,96CE,CW45,ORG-2757
1990,96CE,CW47,ORG-2757
1990,96CE,CW49,ORG-2757
1990,96CE,CW51,ORG-2757
1990,96CE,CW56,ORG-2757
1990,96CE,CW57,ORG-2757
1990,96CE,CW59,ORG-2757
1990,96CE,CW61,ORG-2757
1990,96CE,CW63,ORG-2757
1990,96CE,CW64,ORG-2757
1990,96CE,CW65,ORG-2757
1990,96CE,CW66,ORG-2757
1990,96CE,CW67,ORG-2757
1990,96CE,CW68,ORG-2757
1990,96CE,CW69,ORG-2757
1990,96CE,CW72,ORG-2757
