action_date_fiscal_year,IsTransferred,correction_delete_ind,contract_transaction_unique_key,CSIStransactionID,source_last_modified_date,target_last_modified_date
2025,1,C,9700_4732_FA862224FB003_P00002_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00002_47QRAD19D7001_14,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00003_47QRAD19D7001_14,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00004_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00004_47QRAD19D7001_16,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00005_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00005_47QRAD19D7001_14,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00006_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00007_47QRAD19D7001_14,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00008_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00009_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00010_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00011_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00012_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00013_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_-NONE-_N0002417C5409_A00058_-NONE-_0,NULL,00:00.0,NULL
2025,1,C,9700_-NONE-_N0002417C5409_A00057_-NONE-_0,NULL,00:00.0,NULL
2025,1,C,7008_4732_70Z0G325FMSPL0001_P00005_GS35F0495Y_0,NULL,00:00.0,NULL
2025,1,NULL,9700_4732_FA862224FB003_P00014_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,NULL,9700_4732_FA862224FB003_P00015_47QRAD19D7001_14,NULL,00:00.0,NULL
2025,1,NULL,9700_4732_FA862224FB003_P00015_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00007_47QRAD19D7001_0,NULL,00:00.0,NULL
2024,1,C,9700_4732_FA862224FB003_P00001_47QRAD19D7001_14,NULL,00:00.0,NULL
2025,1,C,9700_4732_FA862224FB003_P00003_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,C,9700_-NONE-_N0002415C5408_A00070_-NONE-_0,NULL,00:00.0,NULL
2026,1,C,4500_4500_EEC45016F0113_P00001_EEC45015A0005_0,NULL,00:00.0,NULL
2025,1,C,9700_-NONE-_N0002413C5407_A00066_-NONE-_0,NULL,00:00.0,NULL
2026,1,C,4500_4500_EEC45015F0062_P00002_EEC45015A0004_0,NULL,00:00.0,NULL
2025,1,C,7008_4732_70Z0G325FMSPL0001_P00003_GS35F0495Y_0,NULL,00:00.0,NULL
2025,1,C,7008_4732_70Z0G325FMSPL0001_P00001_GS35F0495Y_0,NULL,00:00.0,NULL
2026,1,NULL,7008_-NONE-_70Z03826PN0000009_0_-NONE-_0,NULL,00:00.0,NULL
2026,1,NULL,7008_-NONE-_70Z03826PN0000004_0_-NONE-_0,NULL,00:00.0,NULL
2025,1,NULL,9700_-NONE-_N0002417C5420_A00110_-NONE-_16,NULL,00:00.0,NULL
2024,1,C,9700_4732_FA862224FB003_P00001_47QRAD19D7001_0,NULL,00:00.0,NULL
2024,1,C,9700_4732_FA862224FB003_0_47QRAD19D7001_0,NULL,00:00.0,NULL
2025,1,NULL,9700_9700_SP470924F0066_P00004_SP470917D0109_0,NULL,00:00.0,NULL
2025,1,NULL,9700_9700_FA254325F0037_0_FA255019DA003_0,NULL,00:00.0,NULL
2025,1,NULL,9700_-NONE-_SP470624C0002_P00008_-NONE-_0,NULL,00:00.0,NULL
2026,1,NULL,1341_4732_1333ND24FNB180016_P26002_GS35F0117Y_0,NULL,00:00.0,NULL
2025,1,NULL,9700_-NONE-_FA480922P0009_P00021_-NONE-_0,NULL,00:00.0,NULL
2025,1,C,9700_9700_FA461325F0027_P00001_FA251720D0003_0,NULL,00:00.0,NULL
2026,1,NULL,1542_1542_15UC0C25F00000765_P00001_15UC0C25D00000764_0,NULL,00:00.0,NULL
2026,1,NULL,1542_-NONE-_15UC0C25D00000764_P00001_-NONE-_-NONE-,NULL,00:00.0,NULL
2025,1,C,6925_6925_693JJ321F000435_P00002_693JJ320D000017_0,NULL,00:00.0,NULL
2026,1,NULL,7008_7008_70Z03826FA0000030_0_70Z03822DL0000009_0,NULL,00:00.0,NULL
2025,1,NULL,9700_-NONE-_N0010419PCE39_A00001_-NONE-_0,NULL,00:00.0,NULL
2026,1,C,8000_-NONE-_80JSC022DA005_P00005_-NONE-_-NONE-,NULL,00:00.0,NULL
2026,1,NULL,8000_-NONE-_80JSC021C0009_P00041_-NONE-_0,NULL,00:00.0,NULL
2026,1,NULL,7008_-NONE-_70Z03825PN0000210_P00005_-NONE-_0,NULL,00:00.0,NULL
2025,1,C,9700_-NONE-_FA461325C0006_P00001_-NONE-_0,NULL,00:00.0,NULL
2017,1,C,9700_-NONE-_FA310317C0000_0_-NONE-_0,NULL,00:00.0,NULL
2023,1,NULL,7527_-NONE-_75H71522P00003_P00001_-NONE-_0,NULL,00:00.0,NULL
2025,1,C,9700_9700_N0002422F5454_A00002_N0002421G5421_0,NULL,00:00.0,NULL
2021,1,C,6938_-NONE-_693JF720P000033_P00003_-NONE-_0,NULL,00:00.0,NULL
2026,1,NULL,6925_6901_693JJ320F000292_P00008_693JK418A600002_0,NULL,00:00.0,NULL
2025,1,C,9700_-NONE-_FA875017C0073_A00001_-NONE-_4,NULL,00:00.0,NULL
2024,1,NULL,9700_9700_N0038322FZB0A_P00008_N0038322GZB01_0,NULL,00:00.0,NULL
